,time,d2b,b2d
0,0.0,14.39654021202137,14.798280628628824
1,2.0100502512562812,14.298554083950439,14.621130724906289
2,4.0201005025125625,14.017200699681174,14.260373524607218
3,6.030150753768844,13.58534612415119,13.748888672210086
4,8.040201005025125,13.044903694271747,13.128604012624871
5,10.050251256281406,12.436258289493596,12.439919903832163
6,12.060301507537687,11.792321804373723,11.715764732438561
7,14.070351758793969,11.137053248730854,10.980115057636514
8,16.08040201005025,10.486501113314555,10.249038021375718
9,18.09045226130653,9.850674095726614,9.532562119347523
10,20.100502512562812,9.235341040190676,8.836477186220224
11,22.110552763819094,8.64344985806202,8.163753361837205
12,24.120603015075375,8.076143234101488,7.515556843198485
13,26.130653266331656,7.533447848145141,6.891939151630162
14,28.140703517587937,7.020322940320724,6.2965955217032645
15,30.15075376884422,6.537629196835445,5.729393360773289
16,32.1608040201005,6.074113062440319,5.181269080214306
17,34.17085427135678,5.629033757850522,4.6515073192832075
18,36.18090452261306,5.201531969184474,4.139275598195596
19,38.19095477386934,4.790696713708751,3.6436912194500297
20,40.201005025125625,4.395608213216937,3.1638641733458166
21,42.211055276381906,4.015364703954594,2.6989239759101964
22,44.22110552763819,3.6490985534260374,2.248035808813432
23,46.23115577889447,3.2959853063939932,1.810409582767666
24,48.24120603015075,2.955248097594447,1.3853043610630034
25,50.25125628140703,2.6261590686945278,0.9720297798547305
26,52.26130653266331,2.30803888755781,0.5699455623192908
27,54.27135678391959,2.000255104079875,0.1784598599802105
28,56.281407035175874,1.7022198313504313,-0.20297309099125216
29,58.291457286432156,1.4133870751020174,-0.5748556764486308
30,60.30150753768844,1.1332499224071522,-0.9376497637734205
31,62.31155778894472,0.8613377249741078,-1.291779579531163
32,64.321608040201,0.5972133614449782,-1.6376345213263497
33,66.33165829145727,0.34047062890541435,-1.9755718537768647
34,68.34170854271356,0.09073179101677627,-2.3059192608847003
35,70.35175879396985,-0.15235470486050656,-2.628977241524733
36,72.36180904522612,-0.38911633894748837,-2.9450213437474986
37,74.3718592964824,-0.6198584623051975,-3.2543042387431553
38,76.38190954773869,-0.8448660793980329,-3.5570576377473833
39,78.39195979899498,-1.064405479410844,-3.853494055619506
40,80.40201005025125,-1.2787257268037826,-4.143808423764174
41,82.41206030150752,-1.4880600219120275,-4.42817955280078
42,84.42211055276381,-1.6926269422636488,-4.7067714420895825
43,86.4321608040201,-1.8926315748728806,-4.9797344290079595
44,88.44221105527637,-2.088266549185846,-5.2472061658049975
45,90.45226130653265,-2.2797129796909674,-5.5093124060237395
46,92.46231155778894,-2.4671413265091084,-5.766167575990401
47,94.47236180904522,-2.65071218158346,-6.017875099956774
48,96.4824120603015,-2.8305769874170874,-6.264527440547765
49,98.49246231155777,-3.0068786946701924,-6.50620580988277
50,100.50251256281406,-3.179752364335929,-6.742979502159924
51,102.51256281407035,-3.349325719666227,-6.974904797184194
52,104.52261306532662,-3.5157196525178414,-7.202023388497208
53,106.5326633165829,-3.6790486883324585,-7.4243603023899585
54,108.54271356783919,-3.805221396805216,-7.664735617234078
55,110.55276381909547,-3.9053432174603313,-7.924625865811822
56,112.56281407035175,-4.006063177427315,-8.188810984271562
57,114.57286432160802,-4.107288761126781,-8.45755567138495
