,time,d2b,b2d
0,0.0,30.071078264910255,20.147359834963044
1,2.0100502512562812,29.88658388798143,21.05864170041736
2,4.0201005025125625,29.437666681566206,21.909507599873205
3,6.030150753768844,28.729936442865682,22.635519310177585
4,8.040201005025125,27.800754239671228,23.186685264182398
5,10.050251256281406,26.71441657769657,23.5394338152596
6,12.060301507537687,25.544469042655766,23.69761306118804
7,14.070351758793969,24.354791272168036,23.684893246354303
8,16.08040201005025,23.190297867655016,23.534357351370222
9,18.09045226130653,22.077313771787324,23.279957558186734
10,20.100502512562812,21.028321095357384,22.951573728429253
11,22.110552763819094,20.04700929144072,22.573193160813222
12,24.120603015075375,19.132087272399154,22.16297758583331
13,26.130653266331656,18.27974723149943,21.7341564081368
14,28.140703517587937,17.482322021707564,21.304510459264453
15,30.15075376884422,16.732022084079414,20.882999678642733
16,32.1608040201005,16.028838147083626,20.4588853094522
17,34.17085427135678,15.368566491226549,20.036031922616747
18,36.18090452261306,14.74727695941408,19.617073007546924
19,38.19095477386934,14.161376321592282,19.203756185115072
20,40.201005025125625,13.60762173708162,18.79719599659834
21,42.211055276381906,13.08310817994319,18.398056847784176
22,44.22110552763819,12.585243450241121,18.00668458870821
23,46.23115577889447,12.111718383586611,17.623200883665497
24,48.24120603015075,11.66047638112456,17.247570834924105
25,50.25125628140703,11.229684376099753,16.879651445834757
26,52.26130653266331,10.817706215499893,16.51922636664135
27,54.27135678391959,10.423078803217091,16.166030810896046
28,56.281407035175874,10.044491011831216,15.81976941637867
29,58.291457286432156,9.680765198845787,15.480129031911103
30,60.30150753768844,9.330841087117964,15.14678784904843
31,62.31155778894472,8.993761745817965,14.819421898386578
32,64.321608040201,8.66866141286771,14.49770964619014
33,66.33165829145727,8.354754918264112,14.181335224232896
34,68.34170854271356,8.051328491965242,13.869990680202903
35,70.35175879396985,7.757731765686097,13.563377530861832
36,72.36180904522612,7.47337080269313,13.261207823404806
37,74.3718592964824,7.197702012388224,12.963204853590629
38,76.38190954773869,6.930226826700593,12.669103645987379
39,78.39195979899498,6.670487033000225,12.378651267462335
40,80.40201005025125,6.418060673542795,12.091607016226465
41,82.41206030150752,6.172558434575768,11.807742502348315
42,84.42211055276381,5.933620459432403,11.526841609064709
43,86.4321608040201,5.700913529466898,11.248700294986564
44,88.44221105527637,5.47412856477491,10.973126163044519
45,90.45226130653265,5.252978403510703,10.699937680435902
46,92.46231155778894,5.037195824440409,10.428962882876105
47,94.47236180904522,4.826531782319595,10.160037334776998
48,96.4824120603015,4.620753829889951,9.893001044759501
49,98.49246231155777,4.419644703869669,9.62769395629542
50,100.50251256281406,4.223001055362858,9.363949554559
51,102.51256281407035,4.030632307718132,9.101586069364657
52,104.52261306532662,3.8423596270936584,8.840394739398025
53,106.5326633165829,3.658014992894465,8.580124680748536
54,108.54271356783919,3.4521500405957224,8.364637947817837
55,110.55276381909547,3.230646066385633,8.174401002312715
56,112.56281407035175,3.012653502499434,7.973187602691015
57,114.57286432160802,2.7981559312109066,7.76053800886385
58,116.58291457286431,2.5871284059356734,7.535850122225597
59,118.5929648241206,2.379538661302347,7.298354798354596
60,120.60301507537687,2.1753482005094487,7.047085824507437
61,122.61306532663315,1.974513268847927,6.780842910306354
62,124.62311557788944,1.7769857222629386,6.4981453443630475
63,126.63316582914572,1.5951405073249174,6.228592424438246
64,128.643216080402,1.4672205976941022,6.069805506378168
65,130.65326633165827,1.3391402919318653,5.8854549534451035
66,132.66331658291455,1.2110029057806204,5.674621966137101
67,134.67336683417085,1.0829080106701778,5.4368038500075215
68,136.68341708542712,0.95495120557669,5.172188833331654
69,138.6934673366834,0.8272239216208435,4.882048313918218
70,140.7035175879397,0.6998132595235272,4.569269629732366
71,142.71356783919597,0.572801859687225,4.239034306863568
72,144.72361809045225,0.44626780434021807,3.8995953759586683
73,146.73366834170852,0.32028455087168584,3.562985206892932
74,148.7437185929648,0.194920895203585,3.245251457640532
75,150.7537688442211,0.07024096379359594,2.9655336715077074
76,152.76381909547737,-0.053695767355720084,2.7432959582084084
77,154.77386934673365,-0.17683442849036682,2.5938105345529094
78,156.78391959798995,-0.2991246886581084,2.5234355713751597
79,158.79396984924622,-0.4205206670906332,2.5271451100243065
80,160.8040201005025,-0.5409808255607292,2.5897129669922583
81,162.81407035175877,-0.6604678439026223,2.6895877685896696
82,164.82412060301505,-0.7789484808936473,2.8036464034124418
83,166.83417085427135,-0.8963934226751393,2.9116803522668997
84,168.84422110552762,-1.0127771208431509,2.999545988301589
85,170.8542713567839,-1.1280776222680486,3.0600574649563743
86,172.8643216080402,-1.2422763926098337,3.0917871827625265
87,174.87437185929647,-1.3553581353866622,3.09687822061116
88,176.88442211055275,-1.4673106083307328,3.0789691902837824
89,178.89447236180902,-1.57812443863206,3.041774634589467
90,180.9045226130653,-1.6877929385298749,2.9883615692495575
91,182.9145728643216,-1.7963119225664719,2.9209333774803268
92,184.92462311557787,-1.9036795276718244,2.8409049925230097
93,186.93467336683415,-2.009896037102389,2.7491059288300495
94,188.94472361809045,-2.114963709115036,2.646008867174529
95,190.95477386934672,-2.2188866111205026,2.5319284959113206
96,192.964824120603,-2.3216704599300795,2.407167249000718
97,194.97487437185927,-2.423322468586518,2.272105077229895
98,196.98492462311555,-2.5238512001562015,2.1272422036337106
99,198.99497487437185,-2.623266428754417,1.9732088444116302
100,201.00502512562812,-2.721579007980392,1.8107559408202942
101,203.0150753768844,-2.818800746852903,1.6407379480439448
102,205.0251256281407,-2.914944293261246,1.4640943774435022
103,207.03517587939697,-3.010023024879554,1.281832357499635
