,t,snr
0,0.25574660301208496,2.929742104337223
1,0.88680100440979,2.798041677792574
2,0.9359440803527832,2.7879230564107127
3,1.0536906719207764,2.7637636507010934
4,1.1664109230041504,2.740749427643075
5,1.2808942794799805,2.7174914708983917
6,1.3570466041564941,2.7020866501111773
7,1.7625141143798828,2.620980641597932
8,1.88388991355896,2.597010987605409
9,2.0059454441070557,2.5730554166431285
10,2.0915603637695312,2.55634210581014
11,2.180943727493286,2.5389735362466532
12,2.3201847076416016,2.5120828219296287
13,2.3981831073760986,2.4971090352718655
14,2.498152017593384,2.4780127644557903
15,2.598845958709717,2.458887534055599
16,2.6990113258361816,2.439973137888762
17,2.7987239360809326,2.421254985256601
18,2.900838851928711,2.402201777338576
19,2.9995338916778564,2.383899444424435
20,3.1005423069000244,2.365284222106189
21,3.2015981674194336,2.3467791213017573
22,3.3013627529144287,2.328628392869723
23,3.399592161178589,2.310872666797617
24,3.5010225772857666,2.2926600766655816
25,3.60239315032959,2.2745830967344243
26,3.7021450996398926,2.2569178534871437
27,3.801809787750244,2.239391213510856
28,3.9024860858917236,2.221812858424076
29,4.0033440589904785,2.2043311495929037
30,4.109546422958374,2.1860632858173066
31,4.217287302017212,2.1676791157213637
32,4.325884103775024,2.1493015086953355
33,4.425111532211304,2.132644624456659
34,4.53265380859375,2.114738987355703
35,4.62751030921936,2.099073493482203
36,4.728181600570679,2.082579957102939
37,4.8276989459991455,2.0664103654147534
38,4.927793979644775,2.050283214206012
39,5.027694225311279,2.034324748859201
40,5.134681224822998,2.0173874439302306
41,5.227970361709595,2.0027489170539283
42,5.329370975494385,1.9869761359890223
43,5.433831691741943,1.9708792928980805
44,5.567078590393066,1.9505720654304808
45,5.661642551422119,1.936314609170377
46,5.7640156745910645,1.9210252005595863
47,5.88273024559021,1.9034857071372318
48,5.970890045166016,1.8905936888587451
49,6.082051753997803,1.8745007134947633
50,6.169111013412476,1.8620244536697235
51,6.269596099853516,1.847763999975641
52,6.369279384613037,1.8337661024966618
53,6.469029188156128,1.8199079108584766
54,6.569877862930298,1.8060493426095217
55,6.669055223464966,1.792570468606453
56,6.769730567932129,1.7790408430870914
57,6.870022535324097,1.7657164984608127
58,6.982348203659058,1.7509763896459978
59,7.073019504547119,1.7392194994616565
60,7.1744232177734375,1.7262214079178542
61,7.281684875488281,1.7126459236893383
62,7.372989892959595,1.7012310130494466
63,7.471013307571411,1.6891210300308468
64,7.585210561752319,1.675202700214492
65,7.713016748428345,1.6598688113625646
66,7.792412042617798,1.6504728648128189
67,7.897801637649536,1.6381546718422515
68,7.991603136062622,1.6273390751607184
69,8.090668201446533,1.6160684689914895
70,8.19217586517334,1.6046822304937238
71,8.291705846786499,1.5936776848934586
72,8.415912389755249,1.5801673339331561
73,8.493782758712769,1.5718234211763082
74,8.593595027923584,1.5612710477504304
75,8.69932246208191,1.550268418191842
76,8.79320216178894,1.5406500123526614
77,8.89371395111084,1.530510127496677
78,8.993433237075806,1.5206119261593525
79,9.09487009048462,1.5107087757250974
80,9.194172382354736,1.50117597417694
81,9.294012069702148,1.4917533397209533
82,9.39487600326538,1.482398945495638
83,9.494118213653564,1.4733569172735135
84,9.595550298690796,1.464281557738858
85,9.696296453475952,1.4554340418986027
86,9.794883012771606,1.4469369419582554
87,9.895051717758179,1.4384664837127306
88,9.995894432067871,1.430105123625513
89,10.097334623336792,1.4218624772799968
90,10.197492361068726,1.4138897071632521
91,10.316783666610718,1.4046087817348176
92,10.404776096343994,1.3979127411652819
93,10.533082246780396,1.388376973172094
94,10.633604288101196,1.3810952304464779
95,10.734890460968018,1.373926227054283
96,10.833003044128418,1.367142769470895
97,10.950146675109863,1.3592509687089962
98,11.058019638061523,1.3521834474792638
99,11.159114360809326,1.3457338605658205
100,11.259820222854614,1.3394763244645462
101,11.358814716339111,1.333487816428631
102,11.45852518081665,1.3276190395347176
103,11.55879259109497,1.3218824731986245
104,11.698681831359863,1.3141554401646538
105,11.817180871963501,1.3078618043261105
106,11.892659187316895,1.3039734692855085
107,11.993009328842163,1.2989489265391545
108,12.098377466201782,1.2938513351071275
109,12.194901943206787,1.2893417617931362
110,12.296002864837646,1.2847825569983287
111,12.39577841758728,1.2804477671701724
112,12.51426076889038,1.27551262256885
113,12.595057010650635,1.272279405887758
114,12.696423768997192,1.268374574493831
115,12.796811580657959,1.264673638551404
116,12.89613127708435,1.2611747779208804
117,13.015838146209717,1.2571727054212873
118,13.100035190582275,1.2544985395373023
119,13.200323820114136,1.2514649100402846
120,13.315662145614624,1.248179785078792
121,13.400439739227295,1.2459040500983336
122,13.515982389450073,1.2429919713531636
123,13.59942078590393,1.2410249280505186
124,13.700140953063965,1.2388022526168379
125,13.799685001373291,1.2367686208340578
126,13.899540424346924,1.2348914810706455
127,14.000452041625977,1.2331601528715217
128,14.103517770767212,1.2315637382708877
129,14.204629898071289,1.230166329348673
130,14.30465841293335,1.2289483208731986
131,14.404704332351685,1.2278936558399869
132,14.506506204605103,1.226988357605458
133,14.604701519012451,1.2262755582617433
134,14.703421831130981,1.2257177319034118
135,14.804916858673096,1.225310196658491
136,14.904410123825073,1.2250740148459283
137,15.005396366119385,1.2249996303381632
138,15.105957984924316,1.2250910805271953
139,15.205395698547363,1.2253439251290392
140,15.305103063583374,1.2257596222808695
141,15.405255556106567,1.2263406599675712
142,15.507123947143555,1.2270997493938791
143,15.606532096862793,1.228003955049725
144,15.715912818908691,1.2291854522543184
145,15.808700799942017,1.2303410010764126
146,16.013113737106323,1.2333832113807104
147,16.119727611541748,1.2352409944459573
