,t,snr
0,0.3103346824645996,2.9308610025457105
1,0.25044894218444824,2.9308610025457105
2,0.4228990077972412,2.894548670270348
3,0.46189355850219727,2.8863696416898534
4,0.9602634906768799,2.782923324049186
5,0.9974870681762695,2.775280566305081
6,1.1395928859710693,2.746214682446269
7,1.269728422164917,2.719754662350541
8,1.3806476593017578,2.6973232245540326
9,1.479257345199585,2.67747670904607
10,1.5875074863433838,2.655795201615926
11,1.6934242248535156,2.634689425505321
12,1.7898271083831787,2.6155740979165922
13,1.8930799961090088,2.595202060292398
14,1.9940295219421387,2.575387504943926
15,2.0971410274505615,2.5552552827657258
16,2.223137855529785,2.5308033827809573
17,2.3366124629974365,2.5089237128883535
18,2.442300319671631,2.4886684028903203
19,2.555401086807251,2.467125631949521
20,2.6606605052948,2.447201888477756
21,2.765693187713623,2.427443229813879
22,2.8805789947509766,2.4059725886967445
23,2.993661403656006,2.3849853329337325
24,3.0971124172210693,2.365914388723353
25,3.2086639404296875,2.345489735659475
26,3.321685314178467,2.324945473921114
27,3.4365196228027344,2.3042276788365994
28,3.5455329418182373,2.2847072863340583
29,3.644735336303711,2.267069661051815
30,3.772557258605957,2.2445226153696822
31,3.876195192337036,2.2263910178590516
32,3.977062702178955,2.208874051440376
33,4.089807987213135,2.189447551886052
34,4.204179048538208,2.1699077891099106
35,4.341127395629883,2.146734262444191
36,4.471617221832275,2.1248826499875872
37,4.589576005935669,2.1053238638345473
38,4.710657596588135,2.08544117590927
39,4.83954644203186,2.064494363786303
40,4.949021100997925,2.046880798750697
41,5.050184011459351,2.030751157156565
42,5.198133707046509,2.0074175064082675
43,5.294620990753174,1.9923651529049033
44,5.397421360015869,1.9764723620227076
45,5.499863147735596,1.96078420108788
46,5.5996174812316895,1.9456516488263635
47,5.697813510894775,1.9308951635395828
48,5.797986268997192,1.9159852621057427
49,5.900371313095093,1.900896865752607
50,6.004106521606445,1.8857658555816372
51,6.109649658203125,1.8705335793878444
52,6.21396803855896,1.8556399622877664
53,6.309685945510864,1.842116581010711
54,6.4119203090667725,1.8278237331317793
55,6.51422381401062,1.8136783137577537
56,6.612192869186401,1.8002802119722692
57,6.711548566818237,1.7868410261244192
58,6.810882329940796,1.7735550000884794
59,6.911411762237549,1.7602625956465359
60,7.042065620422363,1.743218881951244
61,7.134226560592651,1.73135484379564
62,7.231849431991577,1.7189310803064055
63,7.338114261627197,1.7055758099545884
64,7.45425271987915,1.691181010596263
65,7.575436353683472,1.676385967439313
66,7.68455696105957,1.6632610799878969
67,7.792341232299805,1.6504812004002636
68,7.92509651184082,1.6349930793918306
69,8.022870063781738,1.6237649742368188
70,8.125553131103516,1.6121368407992012
71,8.227064371109009,1.6008067418959706
72,8.341188669204712,1.5882656312098928
73,8.428497791290283,1.5788121904469203
74,8.551841497421265,1.5656658079077053
75,8.642157077789307,1.5561949999107956
76,8.744290828704834,9.32804951821892
77,8.845893859863281,9.20842245789002
78,8.944670677185059,9.094099560727281
79,9.067041397094727,8.95515968735237
80,9.155077695846558,8.85703480294353
81,9.28507137298584,8.714927373379602
82,9.385565757751465,8.607325308422242
83,9.484657287597656,8.503135507621137
84,9.585893154144287,8.39863227450705
85,9.689158201217651,8.294035854676792
86,9.789713382720947,8.194105974503005
87,9.890451192855835,8.095874269276107
88,9.990451335906982,8.000200334733675
89,10.090599060058594,7.906197770118385
90,10.191501379013062,7.813297028878941
91,10.292371273040771,7.722216922665412
92,10.392530679702759,7.633524327888265
93,10.496963262557983,7.542872365427001
94,10.595504760742188,7.459015545905909
95,10.69579029083252,7.375323871103277
96,10.796157360076904,7.293202760960099
97,10.896494388580322,7.21271720307772
98,10.997124910354614,7.133586129930535
99,11.096620321273804,7.056885551114027
100,11.197568655014038,6.980599698475451
101,11.29575514793396,6.907857096838901
102,11.396766901016235,6.834492129489093
103,11.497621297836304,6.7627015962451615
104,11.597370862960815,6.693105107389631
105,11.69953465461731,6.623246958652867
106,11.796961784362793,6.557942696568192
107,11.89665412902832,6.492422801350535
108,12.026787042617798,6.408836180352104
109,12.164661884307861,6.322613821904467
110,12.278217792510986,6.25335871444544
111,12.38039755821228,6.192366786652965
112,12.489578008651733,6.128552126178927
113,12.623655080795288,6.0520561997821645
114,12.721643924713135,5.997422916688768
115,12.823099374771118,5.941962950266885
116,12.95447564125061,5.871779905785917
117,13.055603742599487,5.81898125314241
118,13.14798641204834,5.771658620855881
119,13.2542142868042,5.718294783587145
120,13.352060079574585,5.67011514666072
121,13.459300994873047,5.618357472457212
122,13.550241231918335,5.575307529634534
123,13.651116609573364,5.528437302889216
124,13.755818605422974,5.480750112058448
125,13.855259418487549,5.436345458095569
126,13.954363346099854,5.392931386278549
127,14.085419416427612,5.33677728358471
128,14.178182363510132,5.297875759515238
129,14.277835369110107,5.256846797289281
130,14.384541511535645,5.213769951471874
131,14.48025894165039,5.175865868160158
132,14.579730749130249,5.137197032357676
133,14.680156946182251,5.098887624980394
134,14.779551267623901,5.0616787760172155
135,14.927244901657104,5.007655030175213
136,15.02475357055664,4.972796954149927
137,15.119752168655396,4.939439653501482
138,15.225477933883667,4.903000822304564
139,15.358727216720581,4.8580791898408355
140,15.460837841033936,4.824393762001456
141,15.59034252166748,4.782568925630911
142,15.691526412963867,4.7505724213016
143,15.795389175415039,4.718335978795609
144,15.90576958656311,4.684735618283637
145,16.036704063415527,4.645737308588378
146,16.172490119934082,4.6062519950114496
147,16.277646780014038,4.5763259499101805
148,16.402681350708008,4.541464998233047
149,16.53461456298828,4.5055094305111005
150,16.632035493850708,4.479492041194986
151,16.73778462409973,4.4517505742464785
152,16.839215755462646,4.425620526060539
153,16.941446781158447,4.399748400100664
154,17.069955110549927,4.3678716480151
155,17.166495084762573,4.344386918767512
156,17.267519235610962,4.3202263577035644
157,17.369248628616333,4.296317139627415
158,17.473068714141846,4.272341914970361
159,17.575145483016968,4.249179343945306
160,17.674253940582275,4.22707122037666
161,17.774123191833496,4.2051651843222855
162,17.87317991256714,4.18379856111333
163,17.97879195213318,4.161405957663556
164,18.083723068237305,4.139545984116365
165,18.192615747451782,4.117261080353082
166,18.28979206085205,4.097711058258498
167,18.392914295196533,4.077305350974909
168,18.508570432662964,4.054827784772563
169,18.607670307159424,4.035904072021927
170,18.73664093017578,4.011730394056357
171,18.83454394340515,3.993715348374961
172,18.935256004333496,3.975478985136884
173,19.045199155807495,3.955906392333053
174,19.144794940948486,3.9384718623709385
175,19.244835376739502,3.921237014613454
176,19.344558000564575,3.904328336644393
177,19.445330381393433,3.8875115748953992
178,19.54486083984375,3.8711632220460563
179,19.64453959465027,3.855045598526008
180,19.746253490447998,3.838856961030526
181,19.84708833694458,3.8230605485031868
182,19.946760892868042,3.8076883468007674
183,20.05045247077942,3.791946841375008
184,20.153456926345825,3.776557690246478
185,20.300253868103027,3.7550435178981796
186,20.398855447769165,3.740862311862384
187,20.504567623138428,3.7258937769529497
188,20.60936212539673,3.711290911083375
189,20.710501194000244,3.697415668349896
190,20.81368589401245,3.683476470964638
191,20.913820028305054,3.6701546799984848
192,21.015167474746704,3.6568735214773507
193,21.11554479598999,3.6439161381628686
194,21.22830295562744,3.6295894578211345
195,21.37130618095398,3.6117607571303667
196,21.468461275100708,3.599860868658839
197,21.572365045547485,3.587320918842388
198,21.70626211166382,3.5714397213194053
199,21.80656599998474,3.559744292601028
200,21.936965703964233,3.544791956455019
201,22.03575825691223,3.53365000987367
202,22.137090921401978,3.5223850314544225
203,22.24154233932495,3.510943466187223
204,22.3415105342865,3.500151815313882
205,22.44149923324585,3.4895105612596926
206,22.54185175895691,3.478981349173989
207,22.67781639099121,3.464951859327742
208,22.776804208755493,3.454905475579562
209,22.90243148803711,3.442354601218387
210,22.994184970855713,3.4333261292127735
211,23.09471869468689,3.423565204086654
212,23.194743394851685,3.4139878937782786
